Estação ,Sensores ,Data Hora,Valor ,,,,,
SANTANA DO CARIRI,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
SANTANA DO CARIRI,Pressão atmosférica (hPa),2013-04-01 03:00:00,953.00,,,,,
SANTANA DO CARIRI,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
SANTANA DO CARIRI,Direção do vento (graus),2013-04-01 03:00:00,0.00,,,,,
SANTA QUITERIA,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,0.00,,,,,
SANTA QUITERIA,Umidade Relativa (%),2013-04-01 03:00:00,0.00,,,,,
SANTA QUITERIA,Temp. do Ar (ºC),2013-04-01 03:00:00,0.00,,,,,
SANTA QUITERIA,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
SANTA QUITERIA,Pressão atmosférica (hPa),2013-04-01 03:00:00,953.00,,,,,
SANTA QUITERIA,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
SANTA QUITERIA,Direção do vento (graus),2013-04-01 03:00:00,0.00,,,,,
SOBRAL,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,0.00,,,,,
SOBRAL,Umidade Relativa (%),2013-04-01 03:00:00,84.80,,,,,
SOBRAL,Temp. do Ar (ºC),2013-04-01 03:00:00,25.70,,,,,
SOBRAL,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
SOBRAL,Pressão atmosférica (hPa),2013-04-01 03:00:00,1005.00,,,,,
SOBRAL,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
SOBRAL,Direção do vento (graus),2013-04-01 03:00:00,0.00,,,,,
AIUABA,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,0.00,,,,,
AIUABA,Umidade Relativa (%),2013-04-01 03:00:00,88.00,,,,,
AIUABA,Temp. do Ar (ºC),2013-04-01 03:00:00,19.30,,,,,
AIUABA,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
AIUABA,Pressão atmosférica (hPa),2013-04-01 03:00:00,953.90,,,,,
AIUABA,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
AIUABA,Direção do vento (graus),2013-04-01 03:00:00,0.00,,,,,
ARATUBA,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,1.70,,,,,
ARATUBA,Umidade Relativa (%),2013-04-01 03:00:00,20.80,,,,,
ARATUBA,Temp. do Ar (ºC),2013-04-01 03:00:00,51.10,,,,,
ARATUBA,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
ARATUBA,Pressão atmosférica (hPa),2013-04-01 03:00:00,920.40,,,,,
ARATUBA,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
ARATUBA,Direção do vento (graus),2013-04-01 03:00:00,99.00,,,,,
CANINDE-CANGATI,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,3.10,,,,,
CANINDE-CANGATI,Umidade Relativa (%),2013-04-01 03:00:00,25.60,,,,,
CANINDE-CANGATI,Temp. do Ar (ºC),2013-04-01 03:00:00,2.90,,,,,
CANINDE-CANGATI,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
CANINDE-CANGATI,Pressão atmosférica (hPa),2013-04-01 03:00:00,982.10,,,,,
CANINDE-CANGATI,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
CANINDE-CANGATI,Direção do vento (graus),2013-04-01 03:00:00,24.00,,,,,
MARANGUAPE,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,3.50,,,,,
MARANGUAPE,Umidade Relativa (%),2013-04-01 03:00:00,100.80,,,,,
MARANGUAPE,Temp. do Ar (ºC),2013-04-01 03:00:00,51.10,,,,,
MARANGUAPE,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
MARANGUAPE,Pressão atmosférica (hPa),2013-04-01 03:00:00,895.90,,,,,
MARANGUAPE,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
MARANGUAPE,Direção do vento (graus),2013-04-01 03:00:00,87.00,,,,,
CAUCAIA,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,1.30,,,,,
CAUCAIA,Umidade Relativa (%),2013-04-01 03:00:00,72.00,,,,,
CAUCAIA,Temp. do Ar (ºC),2013-04-01 03:00:00,22.90,,,,,
CAUCAIA,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
CAUCAIA,Pressão atmosférica (hPa),2013-04-01 03:00:00,1008.20,,,,,
CAUCAIA,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,1.40,,,,,
CAUCAIA,Direção do vento (graus),2013-04-01 03:00:00,24.00,,,,,
PENTECOSTE,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,0.00,,,,,
PENTECOSTE,Umidade Relativa (%),2013-04-01 03:00:00,70.40,,,,,
PENTECOSTE,Temp. do Ar (ºC),2013-04-01 03:00:00,27.00,,,,,
PENTECOSTE,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
PENTECOSTE,Pressão atmosférica (hPa),2013-04-01 03:00:00,1005.50,,,,,
PENTECOSTE,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
PENTECOSTE,Direção do vento (graus),2013-04-01 03:00:00,0.00,,,,,
PEDRA BRANCA,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,0.00,,,,,
PEDRA BRANCA,Umidade Relativa (%),2013-04-01 03:00:00,80.00,,,,,
PEDRA BRANCA,Temp. do Ar (ºC),2013-04-01 03:00:00,23.40,,,,,
PEDRA BRANCA,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
PEDRA BRANCA,Pressão atmosférica (hPa),2013-04-01 03:00:00,955.40,,,,,
PEDRA BRANCA,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
PEDRA BRANCA,Direção do vento (graus),2013-04-01 03:00:00,0.00,,,,,
ITATIRA,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,0.00,,,,,
ITATIRA,Umidade Relativa (%),2013-04-01 03:00:00,0.00,,,,,
ITATIRA,Temp. do Ar (ºC),2013-04-01 03:00:00,0.00,,,,,
ITATIRA,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
ITATIRA,Pressão atmosférica (hPa),2013-04-01 03:00:00,850.00,,,,,
ITATIRA,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
ITATIRA,Direção do vento (graus),2013-04-01 03:00:00,0.00,,,,,
UBAJARA,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,4.40,,,,,
UBAJARA,Umidade Relativa (%),2013-04-01 03:00:00,89.60,,,,,
UBAJARA,Temp. do Ar (ºC),2013-04-01 03:00:00,8.70,,,,,
UBAJARA,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
UBAJARA,Pressão atmosférica (hPa),2013-04-01 03:00:00,931.70,,,,,
UBAJARA,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
UBAJARA,Direção do vento (graus),2013-04-01 03:00:00,18.00,,,,,
